讲次,章节,学习单元,标题,开始时间,时长,开始秒数,文件名
L00,全书导学,地图与学习方法,导学：从一个工作问题开始,00:00:00,00:05:16,0,L00_全书导学_导学：从一个工作问题开始.mp3
L01,第01—02章,理解精益,精益是什么，要解决什么问题,00:05:16,00:05:31,315.62,L01_第01—02章_精益是什么，要解决什么问题.mp3
L02,第02章,理解精益,识别浪费与解决问题,00:10:47,00:05:47,646.761,L02_第02章_识别浪费与解决问题.mp3
L03,第03章,目标与度量,了解财务指标：个人的例子,00:16:34,00:02:45,993.886,L03_第03章_了解财务指标：个人的例子.mp3
L04,第03章,目标与度量,丰田的真北指标,00:19:19,00:03:37,1158.835,L04_第03章_丰田的真北指标.mp3
L05,第03章,目标与度量,多高才算高,00:22:56,00:04:25,1376.081,L05_第03章_多高才算高.mp3
L06,第03章,目标与度量,质量改进,00:27:21,00:03:09,1641.131,L06_第03章_质量改进.mp3
L07,第03章,目标与度量,交付时间与流程改进,00:30:30,00:07:26,1830.018,L07_第03章_交付时间与流程改进.mp3
L08,第03章,目标与度量,成本与生产率改进,00:37:56,00:03:48,2276.197,L08_第03章_成本与生产率改进.mp3
L09,第03章,目标与度量,人才培育,00:41:44,00:02:49,2504.281,L09_第03章_人才培育.mp3
L10,第03章,目标与度量,将真北指标与财务指标相关联,00:44:33,00:04:32,2673.109,L10_第03章_将真北指标与财务指标相关联.mp3
L11,第04章,流程与改善,从现状价值流识别浪费,00:49:05,00:05:05,2944.876,L11_第04章_从现状价值流识别浪费.mp3
L12,第04章,流程与改善,从理想状态到未来状态和计划,00:54:10,00:04:57,3250.073,L12_第04章_从理想状态到未来状态和计划.mp3
L13,第04章,流程与改善,通过改善活动落实计划,00:59:07,00:05:03,3546.767,L13_第04章_通过改善活动落实计划.mp3
L14,第05章,团队与人才,改善活动怎样获得人员支持,01:04:09,00:05:32,3849.363,L14_第05章_改善活动怎样获得人员支持.mp3
L15,第05章,团队与人才,怎样选择成员和领导者,01:09:41,00:05:36,4181.124,L15_第05章_怎样选择成员和领导者.mp3
L16,第05章,团队与人才,Watlow经验与持续培养,01:15:17,00:05:25,4517.283,L16_第05章_Watlow经验与持续培养.mp3
L17,第06章,战略与推进,领导参与、沟通与指导联盟,01:20:42,00:05:14,4841.893,L17_第06章_领导参与、沟通与指导联盟.mp3
L18,第06章,战略与推进,战略部署与可视化管理,01:25:56,00:05:02,5156.315,L18_第06章_战略部署与可视化管理.mp3
L19,第06章,战略与推进,持续推进与转型阶段,01:30:58,00:05:12,5457.875,L19_第06章_持续推进与转型阶段.mp3
L20,第07章,领导与文化,客户、尊重与面对问题,01:36:09,00:05:07,5769.379,L20_第07章_客户、尊重与面对问题.mp3
L21,第07章,领导与文化,现场学习、指导与日常改善,01:41:17,00:05:04,6076.535,L21_第07章_现场学习、指导与日常改善.mp3
L22,第07章,领导与文化,让行为与文化持续改变,01:46:21,00:05:08,6380.785,L22_第07章_让行为与文化持续改变.mp3
L23,全书回顾,总结,回顾：形成我的工作改善行动草案,01:51:28,00:05:12,6688.372,L23_全书回顾_回顾：形成我的工作改善行动草案.mp3
